Team1,Team2,ROUND,Year
Stetson,Connecticut,2,2024
Northwestern,FloridaAtlantic,2,2024
SanDiegoState,UAB,2,2024
Yale,Auburn,2,2024
BrighamYoung,Duquesne,2,2024
MoreheadState,Illinois,2,2024
WashingtonState,Drake,2,2024
IowaState,SouthDakotaState,2,2024
Howard,NorthCarolina,2,2024
MississippiState,MichiganState,2,2024
SaintMary's(CA),GrandCanyon,2,2024
Alabama,CollegeofCharleston,2,2024
NewMexico,Clemson,2,2024
Baylor,Colgate,2,2024
Nevada,Dayton,2,2024
LongBeachState,Arizona,2,2024
Longwood,Houston,2,2024
Nebraska,TexasA&M,2,2024
Wisconsin,JamesMadison,2,2024
Duke,Vermont,2,2024
TexasTech,NCState,2,2024
Oakland,Kentucky,2,2024
Florida,Colorado,2,2024
WesternKentucky,Marquette,2,2024
Purdue,MontanaState,2,2024
UtahState,TCU,2,2024
McNeeseState,Gonzaga,2,2024
Samford,Kansas,2,2024
SouthCarolina,Oregon,2,2024
Akron,Creighton,2,2024
Texas,ColoradoState,2,2024
SaintPeter's,Tennessee,2,2024
